activity,containers,ingredients,tool,dish,subject,labels,className,fileName,startFrame,startTimeSeconds,endFrame,endTimeSeconds
gatherV,['cutting-board'],['onion'],['knife'],27.0,14.0,768.0,gatherVknifeonioncutting board,s14-d27-cam-002,4833.0,164.41,4883.0,166.122
sliceV,['cutting-board'],['onion'],['knife'],27.0,14.0,2328.0,sliceVknifeonioncutting board,s14-d27-cam-002,4916.0,167.244,5127.0,174.421
cut diceV,['cutting-board'],['onion'],['knife'],27.0,14.0,504.0,cut diceVknifeonioncutting board,s14-d27-cam-002,5193.0,176.666,5623.0,191.292
scratch offV,"['knife', 'cutting-board']",['onion'],['hand'],27.0,14.0,2090.0,scratch offVhandonionknifecutting board,s14-d27-cam-002,5623.0,191.292,5655.0,192.38
scratch offV,"['knife', 'cutting-board']",['onion'],['hand'],27.0,14.0,2090.0,scratch offVhandonionknifecutting board,s14-d27-cam-002,5669.0,192.857,5691.0,193.605
washV,[''],['knife'],['hand'],27.0,14.0,3176.0,washVhandknife,s14-d27-cam-002,5753.0,195.714,5940.0,202.074
shakeV,[''],['knife'],['hand'],27.0,14.0,2213.0,shakeVhandknife,s14-d27-cam-002,5940.0,202.074,5956.0,202.593
throw in garbageV,[''],['peel'],['bowl'],27.0,14.0,2978.0,throw in garbageVbowlpeel,s14-d27-cam-002,6065.0,206.326,6133.0,208.639
enterV,[''],[''],[''],29.0,14.0,706.0,enterV,s14-d29-cam-002,108.0,3.707,148.0,5.068
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],29.0,14.0,2637.0,take outVhandcutting boarddrawercounter,s14-d29-cam-002,171.0,5.85,403.0,13.741
closeV,['drawer'],[''],['hand'],29.0,14.0,363.0,closeVhanddrawer,s14-d29-cam-002,403.0,13.741,445.0,15.17
take outV,"['drawer', 'counter']",['chefs-knife'],['hand'],29.0,14.0,2605.0,take outVhandchefs knifedrawercounter,s14-d29-cam-002,456.0,15.544,626.0,21.326
closeV,['drawer'],[''],['hand'],29.0,14.0,363.0,closeVhanddrawer,s14-d29-cam-002,626.0,21.326,679.0,23.129
take outV,"['drawer', 'counter']",['bowl'],['hand'],29.0,14.0,2569.0,take outVhandbowldrawercounter,s14-d29-cam-002,693.0,23.59,851.0,28.979
closeV,['drawer'],[''],['hand'],29.0,14.0,363.0,closeVhanddrawer,s14-d29-cam-002,851.0,28.979,910.0,30.986
take outV,"['drawer', 'counter']",['knife'],['hand'],29.0,14.0,2705.0,take outVhandknifedrawercounter,s14-d29-cam-002,923.0,31.428,1056.0,35.952
take outV,"['fridge', 'counter']","['plastic-bag', 'plastic-bag']",['hand'],29.0,14.0,2793.0,take outVhandplastic bagplastic bagfridgecounter,s14-d29-cam-002,1092.0,37.176,1363.0,46.394
take outV,"['fridge', 'counter']",['bundle'],['hand'],29.0,14.0,2590.0,take outVhandbundlefridgecounter,s14-d29-cam-002,1409.0,47.959,1630.0,55.476
pull apartV,['counter'],"['parsley', 'bundle']",['hand'],29.0,14.0,1632.0,pull apartVhandparsleybundlecounter,s14-d29-cam-002,1652.0,56.224,2079.0,70.748
moveV,"['counter', 'counter']",['plastic-bag'],['hand'],29.0,14.0,1178.0,moveVhandplastic bagcountercounter,s14-d29-cam-002,2144.0,72.959,2181.0,74.217
remove from packageV,['plastic-bag'],['flower-pot'],['hand'],29.0,14.0,1969.0,remove from packageVhandflower potplastic bag,s14-d29-cam-002,2181.0,74.217,2253.0,76.666
remove from packageV,['plastic-bag'],['flower-pot'],['hand'],29.0,14.0,1969.0,remove from packageVhandflower potplastic bag,s14-d29-cam-002,2300.0,78.249,2389.0,81.292
remove from packageV,['plastic-bag'],['flower-pot'],['hand'],29.0,14.0,1969.0,remove from packageVhandflower potplastic bag,s14-d29-cam-002,2433.0,82.789,2526.0,85.952
throw in garbageV,[''],['plastic-bag'],['hand'],29.0,14.0,3052.0,throw in garbageVhandplastic bag,s14-d29-cam-002,2543.0,86.53,2600.0,88.469
cut apartV,['flower-pot'],['chive'],['knife'],29.0,14.0,432.0,cut apartVknifechiveflower pot,s14-d29-cam-002,2659.0,90.476,2905.0,98.843
moveV,"['counter', 'counter']",['bowl'],['hand'],29.0,14.0,867.0,moveVhandbowlcountercounter,s14-d29-cam-002,3006.0,102.278,3034.0,103.231
purgeV,"['', 'bowl']",['chive'],['hand'],29.0,14.0,1704.0,purgeVhandchivebowl,s14-d29-cam-002,3054.0,103.911,3581.0,121.836
remove from packageV,['plastic-bag'],['flower-pot'],['hand'],29.0,14.0,1969.0,remove from packageVhandflower potplastic bag,s14-d29-cam-002,3679.0,125.17,3896.0,132.551
throw in garbageV,[''],['plastic-bag'],['hand'],29.0,14.0,3052.0,throw in garbageVhandplastic bag,s14-d29-cam-002,3908.0,132.959,4026.0,136.972
cut apartV,['flower-pot'],['oregano'],['knife'],29.0,14.0,458.0,cut apartVknifeoreganoflower pot,s14-d29-cam-002,4284.0,145.748,4375.0,148.843
moveV,"['flower-pot', 'cutting-board']",['oregano'],['hand'],29.0,14.0,1130.0,moveVhandoreganoflower potcutting board,s14-d29-cam-002,4375.0,148.843,4433.0,150.816
put inV,"['counter', 'fridge']","['flower-pot', 'flower-pot']",['hand'],29.0,14.0,1761.0,put inVhandflower potflower potcounterfridge,s14-d29-cam-002,4461.0,151.768,4779.0,162.585
put inV,[],"['counter', 'fridge']","['hand', 'bundle']",29.0,14.0,1741.0,put inVhandbundlecounterfridge,s14-d29-cam-002,4784.0,162.755,4924.0,167.517
closeV,['fridge'],[''],['hand'],29.0,14.0,364.0,closeVhandfridge,s14-d29-cam-002,4930.0,167.721,5001.0,170.136
purgeV,"['', 'bowl']",['oregano'],['hand'],29.0,14.0,1708.0,purgeVhandoreganobowl,s14-d29-cam-002,5129.0,174.489,5430.0,184.727
purgeV,"['cutting-board', 'bowl']",['chive'],['hand'],29.0,14.0,1706.0,purgeVhandchivecutting boardbowl,s14-d29-cam-002,5435.0,184.897,5720.0,194.591
cut apartV,['cutting-board'],['parsley'],['chefs-knife'],29.0,14.0,403.0,cut apartVchefs knifeparsleycutting board,s14-d29-cam-002,5863.0,199.455,5965.0,202.925
addV,"['cutting-board', 'bowl']",['parsley'],['hand'],29.0,14.0,116.0,addVhandparsleycutting boardbowl,s14-d29-cam-002,5987.0,203.673,6014.0,204.591
washV,[''],"['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,3148.0,washVhandchiveoreganoparsley,s14-d29-cam-002,6208.0,211.19,6460.0,219.755
shakeV,[''],"['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,2183.0,shakeVhandchiveoreganoparsley,s14-d29-cam-002,6463.0,219.835,6559.0,223.129
moveV,"['', 'cutting-board']","['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,955.0,moveVhandchiveoreganoparsleycutting board,s14-d29-cam-002,6559.0,223.129,6615.0,225.0
throw in garbageV,[''],['garbage'],['bowl'],29.0,14.0,2975.0,throw in garbageVbowlgarbage,s14-d29-cam-002,6637.0,225.782,6830.0,232.346
washV,[''],['bowl'],['hand'],29.0,14.0,3131.0,washVhandbowl,s14-d29-cam-002,6844.0,232.823,6919.0,235.371
chopV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,303.0,chopVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,7014.0,238.605,8310.0,282.687
chopV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,303.0,chopVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,8332.0,283.435,8539.0,290.476
gatherV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,724.0,gatherVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,8539.0,290.476,8587.0,292.108
scratch offV,"['chefs-knife', 'cutting-board']","['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,2061.0,scratch offVhandchiveoreganoparsleychefs knifecutting board,s14-d29-cam-002,8587.0,292.108,8627.0,293.469
chopV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,303.0,chopVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,8701.0,295.986,8944.0,304.251
gatherV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,724.0,gatherVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,8944.0,304.251,8974.0,305.272
chopV,['cutting-board'],"['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,303.0,chopVchefs knifechiveoreganoparsleycutting board,s14-d29-cam-002,8974.0,305.272,9130.0,310.578
scratch offV,"['chefs-knife', 'bowl']","['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,2060.0,scratch offVhandchiveoreganoparsleychefs knifebowl,s14-d29-cam-002,9152.0,311.294,9231.0,314.013
scratch offV,"['hand', 'bowl']","['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,2023.0,scratch offVchefs knifechiveoreganoparsleyhandbowl,s14-d29-cam-002,9236.0,314.183,9303.0,316.462
addV,"['cutting-board', 'bowl']","['chive', 'oregano', 'parsley']",['chefs-knife'],29.0,14.0,10.0,addVchefs knifechiveoreganoparsleycutting boardbowl,s14-d29-cam-002,9376.0,318.945,9776.0,332.551
scratch offV,"['chefs-knife', 'bowl']","['chive', 'oregano', 'parsley']",['hand'],29.0,14.0,2060.0,scratch offVhandchiveoreganoparsleychefs knifebowl,s14-d29-cam-002,9793.0,333.111,9898.0,336.7
moveV,"['counter', 'sink']","['chefs-knife', 'knife']",['hand'],29.0,14.0,944.0,moveVhandchefs knifeknifecountersink,s14-d29-cam-002,9996.0,340.034,10098.0,343.503
washV,[''],['cutting-board'],['hand'],29.0,14.0,3153.0,washVhandcutting board,s14-d29-cam-002,10111.0,343.945,10147.0,345.17
enterV,[''],[''],[''],32.0,14.0,706.0,enterV,s14-d32-cam-002,133.0,4.557,201.0,6.87
take outV,"['fridge', 'counter']",['plastic-bag'],['hand'],32.0,14.0,2790.0,take outVhandplastic bagfridgecounter,s14-d32-cam-002,218.0,7.448,462.0,15.748
take outV,"['drawer', 'counter']",['knife'],['hand'],32.0,14.0,2705.0,take outVhandknifedrawercounter,s14-d32-cam-002,478.0,16.292,676.0,23.027
take outV,"['drawer', 'counter']",['front-peeler'],['hand'],32.0,14.0,2665.0,take outVhandfront peelerdrawercounter,s14-d32-cam-002,686.0,23.367,836.0,28.469
rip openV,['counter'],['plastic-bag'],['hand'],32.0,14.0,2011.0,rip openVhandplastic bagcounter,s14-d32-cam-002,847.0,28.843,929.0,31.632
remove from packageV,"['plastic-bag', 'counter']",['asparagus'],['hand'],32.0,14.0,1938.0,remove from packageVhandasparagusplastic bagcounter,s14-d32-cam-002,939.0,31.972,1119.0,38.095
remove from packageV,"['plastic-bag', 'counter']",['asparagus'],['hand'],32.0,14.0,1938.0,remove from packageVhandasparagusplastic bagcounter,s14-d32-cam-002,1119.0,38.095,1226.0,41.734
remove from packageV,"['plastic-bag', 'counter']",['asparagus'],['hand'],32.0,14.0,1938.0,remove from packageVhandasparagusplastic bagcounter,s14-d32-cam-002,1226.0,41.734,1288.0,43.843
remove from packageV,"['plastic-bag', 'counter']",['asparagus'],['hand'],32.0,14.0,1938.0,remove from packageVhandasparagusplastic bagcounter,s14-d32-cam-002,1417.0,48.231,1482.0,50.442
moveV,"['counter', 'plastic-bag']",['rubber-band'],['hand'],32.0,14.0,1231.0,moveVhandrubber bandcounterplastic bag,s14-d32-cam-002,1482.0,50.442,1534.0,52.21
packageV,['plastic-bag'],['asparagus'],['hand'],32.0,14.0,1410.0,packageVhandasparagusplastic bag,s14-d32-cam-002,1534.0,52.21,1598.0,54.387
put inV,"['', 'fridge']",['plastic-bag'],['hand'],32.0,14.0,1809.0,put inVhandplastic bagfridge,s14-d32-cam-002,1597.0,54.353,1751.0,59.591
take outV,"['cupboard', 'counter']",['plate'],['hand'],32.0,14.0,2814.0,take outVhandplatecupboardcounter,s14-d32-cam-002,1818.0,61.87,2075.0,70.612
take outV,"['cupboard', 'counter']",['bowl'],['hand'],32.0,14.0,2565.0,take outVhandbowlcupboardcounter,s14-d32-cam-002,2117.0,72.04,2285.0,77.755
peelV,[''],['asparagus'],['front-peeler'],32.0,14.0,1445.0,peelVfront peelerasparagus,s14-d32-cam-002,2316.0,78.809,2997.0,101.972
cut off endsV,"['', 'bowl']",['asparagus'],['knife'],32.0,14.0,538.0,cut off endsVknifeasparagusbowl,s14-d32-cam-002,3018.0,102.687,3056.0,103.979
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,3057.0,104.013,3083.0,104.897
peelV,[''],['asparagus'],['front-peeler'],32.0,14.0,1445.0,peelVfront peelerasparagus,s14-d32-cam-002,3148.0,107.094,3793.0,129.02
cut off endsV,"['', 'bowl']",['asparagus'],['knife'],32.0,14.0,538.0,cut off endsVknifeasparagusbowl,s14-d32-cam-002,3808.0,129.557,3864.0,131.462
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,3864.0,131.462,3891.0,132.38
peelV,[''],['asparagus'],['front-peeler'],32.0,14.0,1445.0,peelVfront peelerasparagus,s14-d32-cam-002,3914.0,133.163,4848.0,164.931
cut off endsV,"['', 'bowl']",['asparagus'],['knife'],32.0,14.0,538.0,cut off endsVknifeasparagusbowl,s14-d32-cam-002,4858.0,165.272,4905.0,166.87
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,4905.0,166.87,4931.0,167.755
peelV,[''],['asparagus'],['front-peeler'],32.0,14.0,1445.0,peelVfront peelerasparagus,s14-d32-cam-002,4931.0,167.755,5647.0,192.108
cut off endsV,"['', 'bowl']",['asparagus'],['knife'],32.0,14.0,538.0,cut off endsVknifeasparagusbowl,s14-d32-cam-002,5660.0,192.551,5706.0,194.115
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,5706.0,194.115,5731.0,194.965
peelV,[''],['asparagus'],['front-peeler'],32.0,14.0,1445.0,peelVfront peelerasparagus,s14-d32-cam-002,5921.0,201.428,6790.0,230.986
cut off endsV,[''],['asparagus'],['knife'],32.0,14.0,537.0,cut off endsVknifeasparagus,s14-d32-cam-002,6796.0,231.19,6902.0,234.795
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,6902.0,234.795,6928.0,235.68
cut off endsV,[''],['asparagus'],['knife'],32.0,14.0,537.0,cut off endsVknifeasparagus,s14-d32-cam-002,6943.0,236.19,7084.0,240.986
moveV,"['', 'plate']",['asparagus'],['hand'],32.0,14.0,856.0,moveVhandasparagusplate,s14-d32-cam-002,7085.0,241.02,7104.0,241.666
moveV,"['counter', 'sink']",['front-peeler'],['hand'],32.0,14.0,1021.0,moveVhandfront peelercountersink,s14-d32-cam-002,7110.0,241.87,7228.0,245.884
throw in garbageV,[''],['peel'],"['bowl', 'hand']",32.0,14.0,2976.0,throw in garbageVbowlhandpeel,s14-d32-cam-002,7241.0,246.326,7571.0,257.551
moveV,"['', 'sink']",['bowl'],['hand'],32.0,14.0,873.0,moveVhandbowlsink,s14-d32-cam-002,7571.0,257.551,7617.0,259.115
enterV,[''],[''],[''],35.0,14.0,706.0,enterV,s14-d35-cam-002,192.0,6.564,227.0,7.755
take outV,['fridge'],['plum'],['hand'],35.0,14.0,2821.0,take outVhandplumfridge,s14-d35-cam-002,276.0,9.421,566.0,19.285
take outV,"['drawer', 'counter']",['knife'],['hand'],35.0,14.0,2705.0,take outVhandknifedrawercounter,s14-d35-cam-002,576.0,19.625,683.0,23.265
take outV,"['cupboard', 'counter']",['plate'],['hand'],35.0,14.0,2814.0,take outVhandplatecupboardcounter,s14-d35-cam-002,728.0,24.795,895.0,30.476
washV,[''],['plum'],['hand'],35.0,14.0,3205.0,washVhandplum,s14-d35-cam-002,922.0,31.394,1061.0,36.122
shakeV,[''],['plum'],['hand'],35.0,14.0,2242.0,shakeVhandplum,s14-d35-cam-002,1061.0,36.122,1092.0,37.176
moveV,"['handle', '']",['towel'],['hand'],35.0,14.0,1306.0,moveVhandtowelhandle,s14-d35-cam-002,1092.0,37.176,1125.0,38.299
dryV,[''],['plum'],['towel'],35.0,14.0,697.0,dryVtowelplum,s14-d35-cam-002,1125.0,38.299,1223.0,41.632
hangV,"['', 'handle']",['towel'],['hand'],35.0,14.0,808.0,hangVhandtowelhandle,s14-d35-cam-002,1236.0,42.074,1293.0,44.013
cutV,[''],['plum'],['knife'],35.0,14.0,651.0,cutVknifeplum,s14-d35-cam-002,1346.0,45.816,1462.0,49.761
pull apartV,[''],['plum'],['hand'],35.0,14.0,1647.0,pull apartVhandplum,s14-d35-cam-002,1462.0,49.761,1551.0,52.789
cutV,[''],['plum'],['knife'],35.0,14.0,651.0,cutVknifeplum,s14-d35-cam-002,1590.0,54.097,1646.0,56.02
pullV,[''],['plum'],['hand'],35.0,14.0,1688.0,pullVhandplum,s14-d35-cam-002,1646.0,56.02,1723.0,58.639
cut apartV,[''],['plum'],['knife'],35.0,14.0,467.0,cut apartVknifeplum,s14-d35-cam-002,1723.0,58.639,1846.0,62.823
cut out insideV,[''],['plum'],['knife'],35.0,14.0,589.0,cut out insideVknifeplum,s14-d35-cam-002,1867.0,63.537,1962.0,66.768
cut apartV,[''],['plum'],['knife'],35.0,14.0,467.0,cut apartVknifeplum,s14-d35-cam-002,1973.0,67.142,2055.0,69.931
throw in garbageV,[''],['stone'],['hand'],35.0,14.0,3063.0,throw in garbageVhandstone,s14-d35-cam-002,2097.0,71.36,2221.0,75.578
washV,[''],['knife'],['hand'],35.0,14.0,3176.0,washVhandknife,s14-d35-cam-002,2247.0,76.462,2344.0,79.761
shakeV,[''],['knife'],['hand'],35.0,14.0,2213.0,shakeVhandknife,s14-d35-cam-002,2344.0,79.761,2377.0,80.884
enterV,[''],[''],[''],36.0,14.0,706.0,enterV,s14-d36-cam-002,66.0,2.278,100.0,3.435
open closeV,['cupboard'],[''],['hand'],36.0,14.0,1365.0,open closeVhandcupboard,s14-d36-cam-002,245.0,8.367,310.0,10.576
take outV,"['cupboard', 'counter']",['lemon'],['hand'],36.0,14.0,2725.0,take outVhandlemoncupboardcounter,s14-d36-cam-002,314.0,10.714,644.0,21.938
take outV,"['drawer', 'counter']",['knife'],['hand'],36.0,14.0,2705.0,take outVhandknifedrawercounter,s14-d36-cam-002,646.0,22.006,782.0,26.632
closeV,['drawer'],[''],['hand'],36.0,14.0,363.0,closeVhanddrawer,s14-d36-cam-002,782.0,26.632,826.0,28.129
take outV,"['drawer', 'counter']",['box-grater'],['hand'],36.0,14.0,2574.0,take outVhandbox graterdrawercounter,s14-d36-cam-002,826.0,28.129,1070.0,36.428
closeV,['drawer'],[''],['hand'],36.0,14.0,363.0,closeVhanddrawer,s14-d36-cam-002,1068.0,36.36,1128.0,38.401
take outV,"['cupboard', 'counter']",['plate'],['hand'],36.0,14.0,2814.0,take outVhandplatecupboardcounter,s14-d36-cam-002,1164.0,39.625,1323.0,45.0
washV,[''],['lemon'],['hand'],36.0,14.0,3184.0,washVhandlemon,s14-d36-cam-002,1369.0,46.598,1743.0,59.289
shakeV,[''],['lemon'],['hand'],36.0,14.0,2220.0,shakeVhandlemon,s14-d36-cam-002,1746.0,59.409,1792.0,60.986
moveV,"['handle', '']",['towel'],['hand'],36.0,14.0,1306.0,moveVhandtowelhandle,s14-d36-cam-002,1793.0,61.02,1827.0,62.176
dryV,[''],['lemon'],['towel'],36.0,14.0,687.0,dryVtowellemon,s14-d36-cam-002,1827.0,62.176,1960.0,66.7
hangV,"['', 'handle']",['towel'],['hand'],36.0,14.0,808.0,hangVhandtowelhandle,s14-d36-cam-002,1960.0,66.7,2044.0,69.557
cut off endsV,[''],['lemon'],['knife'],36.0,14.0,558.0,cut off endsVknifelemon,s14-d36-cam-002,2101.0,71.496,2388.0,81.228
throw in garbageV,[''],['lemon'],['hand'],36.0,14.0,3027.0,throw in garbageVhandlemon,s14-d36-cam-002,2476.0,84.251,2628.0,89.421
grateV,['plate'],['lemon'],['box-grater'],36.0,14.0,789.0,grateVbox graterlemonplate,s14-d36-cam-002,2729.0,92.857,5865.0,199.523
shakeV,['plate'],['box-grater'],['hand'],36.0,14.0,2170.0,shakeVhandbox graterplate,s14-d36-cam-002,5865.0,199.523,5915.0,201.224
scratch offV,"['box-grater', 'plate']",['lemon'],['hand'],36.0,14.0,2081.0,scratch offVhandlemonbox graterplate,s14-d36-cam-002,5981.0,203.469,6203.0,211.02
washV,[''],['knife'],['hand'],36.0,14.0,3176.0,washVhandknife,s14-d36-cam-002,6309.0,214.606,6405.0,217.891
washV,[''],['box-grater'],['cleaning-brush'],36.0,14.0,3117.0,washVcleaning brushbox grater,s14-d36-cam-002,6447.0,219.314,6777.0,230.544
enterV,[''],[''],[''],39.0,14.0,706.0,enterV,s14-d39-cam-002,106.0,3.639,136.0,4.659
take outV,"['cupboard', 'counter']",['leek'],['hand'],39.0,14.0,2718.0,take outVhandleekcupboardcounter,s14-d39-cam-002,164.0,5.612,364.0,12.414
take outV,"['drawer', 'counter']",['knife'],['hand'],39.0,14.0,2705.0,take outVhandknifedrawercounter,s14-d39-cam-002,376.0,12.823,483.0,16.462
take outV,"['drawer', 'counter']",['chefs-knife'],['hand'],39.0,14.0,2605.0,take outVhandchefs knifedrawercounter,s14-d39-cam-002,500.0,17.04,553.0,18.843
closeV,['drawer'],[''],['hand'],39.0,14.0,363.0,closeVhanddrawer,s14-d39-cam-002,553.0,18.843,603.0,20.544
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],39.0,14.0,2637.0,take outVhandcutting boarddrawercounter,s14-d39-cam-002,607.0,20.68,721.0,24.557
take outV,"['drawer', 'counter']",['bowl'],['hand'],39.0,14.0,2569.0,take outVhandbowldrawercounter,s14-d39-cam-002,751.0,25.578,870.0,29.625
closeV,['drawer'],[''],['hand'],39.0,14.0,363.0,closeVhanddrawer,s14-d39-cam-002,917.0,31.224,995.0,33.877
take outV,"['drawer', 'counter']",['bowl'],['hand'],39.0,14.0,2569.0,take outVhandbowldrawercounter,s14-d39-cam-002,1002.0,34.115,1109.0,37.755
cut off endsV,[''],['leek'],['knife'],39.0,14.0,556.0,cut off endsVknifeleek,s14-d39-cam-002,1203.0,40.952,1258.0,42.823
cut apartV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,398.0,cut apartVchefs knifeleekcutting board,s14-d39-cam-002,1309.0,44.557,1403.0,47.727
cut apartV,[''],['leek'],['knife'],39.0,14.0,448.0,cut apartVknifeleek,s14-d39-cam-002,1468.0,49.965,1567.0,53.333
washV,[''],['leek'],['hand'],39.0,14.0,3183.0,washVhandleek,s14-d39-cam-002,1602.0,54.523,2105.0,71.631
shakeV,[''],['leek'],['hand'],39.0,14.0,2219.0,shakeVhandleek,s14-d39-cam-002,2105.0,71.631,2166.0,73.707
chopV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,306.0,chopVchefs knifeleekcutting board,s14-d39-cam-002,2321.0,78.979,2846.0,96.83
addV,"['cutting-board', 'bowl']",['leek'],['chefs-knife'],39.0,14.0,17.0,addVchefs knifeleekcutting boardbowl,s14-d39-cam-002,2846.0,96.83,2920.0,99.353
chopV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,306.0,chopVchefs knifeleekcutting board,s14-d39-cam-002,2920.0,99.353,3856.0,131.19
scratch offV,"['chefs-knife', 'cutting-board']",['leek'],['hand'],39.0,14.0,2078.0,scratch offVhandleekchefs knifecutting board,s14-d39-cam-002,3856.0,131.19,3900.0,132.687
addV,"['cutting-board', 'bowl']",['leek'],['chefs-knife'],39.0,14.0,17.0,addVchefs knifeleekcutting boardbowl,s14-d39-cam-002,4063.0,138.231,4507.0,153.333
cut apartV,[''],['leek'],['knife'],39.0,14.0,448.0,cut apartVknifeleek,s14-d39-cam-002,4717.0,160.476,4846.0,164.863
washV,[''],['leek'],['hand'],39.0,14.0,3183.0,washVhandleek,s14-d39-cam-002,4872.0,165.748,5982.0,203.503
shakeV,[''],['leek'],['hand'],39.0,14.0,2219.0,shakeVhandleek,s14-d39-cam-002,5982.0,203.503,6068.0,206.428
chopV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,306.0,chopVchefs knifeleekcutting board,s14-d39-cam-002,6144.0,209.013,6277.0,213.537
washV,[''],['hand'],['hand'],39.0,14.0,3171.0,washVhandhand,s14-d39-cam-002,6457.0,219.659,6504.0,221.258
chopV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,306.0,chopVchefs knifeleekcutting board,s14-d39-cam-002,6529.0,222.108,7259.0,246.922
addV,"['cutting-board', 'bowl']",['leek'],['chefs-knife'],39.0,14.0,17.0,addVchefs knifeleekcutting boardbowl,s14-d39-cam-002,7259.0,246.922,7320.0,249.013
chopV,['cutting-board'],['leek'],['chefs-knife'],39.0,14.0,306.0,chopVchefs knifeleekcutting board,s14-d39-cam-002,7320.0,249.013,7938.0,270.0
scratch offV,"['chefs-knife', 'bowl']",['leek'],['hand'],39.0,14.0,2077.0,scratch offVhandleekchefs knifebowl,s14-d39-cam-002,7938.0,270.0,7980.0,271.462
addV,"['cutting-board', 'bowl']",['leek'],['chefs-knife'],39.0,14.0,17.0,addVchefs knifeleekcutting boardbowl,s14-d39-cam-002,8041.0,273.537,8545.0,290.68
addV,"['cutting-board', 'bowl']",['leek'],['hand'],39.0,14.0,105.0,addVhandleekcutting boardbowl,s14-d39-cam-002,8568.0,291.462,8669.0,294.897
moveV,"['counter', 'sink']","['knife', 'cutting-board']",['hand'],39.0,14.0,1062.0,moveVhandknifecutting boardcountersink,s14-d39-cam-002,8723.0,296.734,8828.0,300.306
washV,[''],['knife'],['hand'],39.0,14.0,3176.0,washVhandknife,s14-d39-cam-002,8828.0,300.306,8917.0,303.333
washV,[''],['chefs-knife'],['sponge'],39.0,14.0,3235.0,washVspongechefs knife,s14-d39-cam-002,9002.0,306.224,9140.0,310.891
washV,[''],['cutting-board'],['sponge'],39.0,14.0,3237.0,washVspongecutting board,s14-d39-cam-002,9176.0,312.142,9495.0,322.993
wring outV,[''],['sponge'],['hand'],39.0,14.0,3267.0,wring outVhandsponge,s14-d39-cam-002,9505.0,323.333,9551.0,324.897
cleanV,[''],['sink'],['sponge'],39.0,14.0,350.0,cleanVspongesink,s14-d39-cam-002,9553.0,324.965,9597.0,326.462
wring outV,[''],['sponge'],['hand'],39.0,14.0,3267.0,wring outVhandsponge,s14-d39-cam-002,9632.0,327.653,9681.0,329.319
throw in garbageV,[''],['leek'],['bowl'],39.0,14.0,2977.0,throw in garbageVbowlleek,s14-d39-cam-002,9793.0,333.129,9965.0,338.979
washV,[''],['bowl'],['hand'],39.0,14.0,3131.0,washVhandbowl,s14-d39-cam-002,9984.0,339.625,10089.0,343.197
shakeV,[''],['hand'],['hand'],39.0,14.0,2205.0,shakeVhandhand,s14-d39-cam-002,10143.0,345.024,10181.0,346.326
moveV,"['hook', '']",['towel'],['hand'],39.0,14.0,1307.0,moveVhandtowelhook,s14-d39-cam-002,10202.0,347.04,10235.0,348.163
dryV,[''],['hand'],['towel'],39.0,14.0,683.0,dryVtowelhand,s14-d39-cam-002,10248.0,348.605,10298.0,350.306
dryV,[''],['knife'],['towel'],39.0,14.0,686.0,dryVtowelknife,s14-d39-cam-002,10308.0,350.62,10381.0,353.129
put inV,"['', 'drawer']",['knife'],['hand'],39.0,14.0,1782.0,put inVhandknifedrawer,s14-d39-cam-002,10381.0,353.129,10460.0,355.816
